Generation,Inclinations,RAANs,Fitness1,Fitness2
0,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
0,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
0,"[142.88994271092278, 38.574614390921724, 27.749089531603325]","[189.95671114090976, 25.05374233697247, 341.06018691862]",41760.0,-5810.0
0,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
0,"[168.32480261816542, 83.81052992185056, 131.29073765439588]","[151.4462638538689, 105.68770055165274, 80.25196674450521]",45490.0,-4730.0
0,"[109.31521126215934, 29.372649776550062, 76.11897289117923]","[298.95756086698304, 314.23946811888874, 131.863928757411]",47010.0,-4170.0
0,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
0,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
0,"[37.491720277348634, 160.9075241737004, 105.09078815434293]","[227.78490499628805, 89.5837482103854, 335.28209674018075]",62460.0,-7070.0
0,"[127.44364061516167, 49.729958483057565, 159.5252682332525]","[300.6576558427585, 176.29724782874078, 41.231345576020566]",68110.0,-6210.0
1,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
1,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
1,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
1,"[142.88994271092278, 38.574614390921724, 27.749089531603325]","[189.95671114090976, 25.05374233697247, 341.06018691862]",41760.0,-5810.0
1,"[142.88994271092278, 38.574614390921724, 27.749089531603325]","[189.95671114090976, 25.05374233697247, 341.06018691862]",41760.0,-5810.0
1,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
1,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
1,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
1,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
1,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
2,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
2,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
2,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
2,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
2,"[151.4535286661871, 72.29921120689868, 47.228274391032045]","[54.4060964419883, 253.16716770498186, 236.38928947343157]",41690.0,-4620.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
